css-1jxf684 4,css-1jxf684 9,css-1jxf684 10
"318 days, 318 ways. Lock in son.",1.2K,66K
"Trust in God, my boy.",3.5K,104K
"Dear son, you got this.",16K,416K
"Dear son, If you marry a woman from a family where her father is highly respected by her mother and siblings, you've struck a goldmine. Never lose her",2.5K,105K
"I promise you son, any woman rejecting you is actually the universe protecting you.",3.5K,112K
"Man to man: Never appear perfect, rich, and intelligent. It brings unnecessary problems in your life.",5K,149K
"You're a man. Eat like a King. Train like a Warrior. Speak like a Leader. Learn like a Student. Think like a Philosopher. And most importantly, put your trust in God.",4.2K,138K
"Dear son,",2.3K,99K
"When God wakes you up at 3am, Pray.

Before you make any big decisions, Pray.

Before you touch your phone in the morning, Pray.

Son, fix your relationship with God, and He will fix everything else for you. Bookmark this.",8.8K,176K
"Dear son, Never make fun of another man to entertain women. Neverrrrr.",2.1K,87K
"Dear son,

You have wifi.

You have a laptop.

You have a phone.

You have no excuse.

Disappear 4 hours a day. 

Cut off distractions.

Learn a high paying digital skill. It will change your life.

I promise you won't regret it.",4.7K,203K
Unemployment hits differently when you’re a man. Family treats you differently. People lose respect for you. Nobody cares about you and what you say. Family is only nice when you have something to offer. Get up every day and fix your life.The world is very cruel to a poor man.,4.3K,139K
"Dear son,",8.1K,298K
"A horny man can lose everything in a day. Success requires sexual discipline. As a man, lust is your first enemy to conquer.",19K,671K
"Bro... Bro...Bro.. Go back to God, Do not be ashamed and hide your face from Him. He misses you.",7.3K,159K
Loneliness is the price a man pays when he starts to fix his life.,3.5K,109K
"A man cries for a woman once in his lifetime. After that, his soul will never allow him to ever trust women ever again. Everrrrrrrrrr.",4.9K,173K
"it's taking you a little longer because you're not lying, using other people,  scamming, manipulating, or selling your soul. Dear son, God will open a door for you soon. Keep going.",3.2K,104K
"Affirm this, dear son.",20K,340K
"Brooooooo, if a girl ghosts you, fulfil her wish, Never speak to her ever again. Become a ghost. You're the prize.",6.7K,185K
Why are men always okay with doing nothing for their birthday?????,5K,307K
"Don't be shocked when doors start opening up for you all of a sudden. It's your prayer being answered with the favour of God. Dear son, Enjoy.",6.3K,132K
"Elon Musk is worth $428.8 billion. 

If he was a country,  he would be ranked 40th in terms of GDP.

He could solve world hunger for 52 years.

He could spend $1M a day for 953 years.

He could buy 715,500 Ferrari sf90's.

Do you think he got that with work-life balance??

C'mon!",3.7K,161K
"Dear son,",4.8K,153K
You're a man. Stop telling people about your private life. Be silent. Privacy is power son.,3.7K,97K
"Dear son,",28K,909K
I fear not the man who was born disciplined. I fear the man who grinded to become disciplined.,1K,49K
"Dear son,",3.1K,113K
"Dear son,",2.6K,110K
Kill the nice guy inside you and become ruthless. Life is rough to men out here.,23K,611K
"Every girl has a boyfriend until she finds a better man than you.

Especially the one you love the most.

Keep this in mind, dear son.",2.5K,126K
"The average lifespan is 76 years.

Mid age isn't 50- it's 38.

They tricked you so you can work until you're 64.

By the time you retire, about 12 years are left to enjoy your life.

9-5 is a scam.

Ask yourself, Why do you spend your best years working instead of living????????",3.5K,217K
"You're a man. Nothing is handed to you. You have to pay the price of loneliness, pain, failure, rejection, loss, disrespect, and setbacks to win in life. No shortcut, my boy.",2.6K,106K
End goal.,11K,391K
"You're a man

Never spend all day in the house. 

That's why you're depressed.

Go out. Connect with people. Make friends. Take the risks. Have a good time.",3.9K,137K
"Dear son,

If you're a man with empty pockets 

Even your simplest ""hello"" can be mistaken for begging.

If your life is a mess, wake up early. Do whatever it takes to fix your life because no one cares. No one will do it for you.",2.7K,94K
"Dear son,",8.4K,283K
"I apologize to every man who chooses to skip this. Dear son, If God has repeatedly saved your life, type amen!",33K,1M
"Dear son,",4.5K,174K
"You go to college. 
You get a degree.
You get a job.

A high salary.
A nice house.
You can raise a family. 

Yes, you’re set.
And that’s true.

This works.
In the 1900s,
Not in 2025.

Dear son, Be wise",11K,473K
"Dear son,",30K,889K
Neverrrrrrrr.,97K,4M
"To all mature men who are 30+, please name one mistake you have made in your life so a young man may never repeat. It can be about anything!",5.4K,607K
"In 2025, Be a man who is busy building his mind, body, and wallet.",1.4K,69K
"As a man, 97% of your stress should be about money or job, not about who is not talking to you.",3.4K,126K
"You become rich in your mind long before you become rich in your bank account, son.",2.5K,85K
"Dear son, Reminder.",4.7K,127K
"Young man,

Your minimum base fitness level should be:

• 50 push-ups
• 20 pull-ups
• 50 squats
• 20 dips

If this sounds unrealistic, you have SERIOUS work to do my boy.",4.7K,255K
"By December 2025, you'll be enjoying your new car, relaxing at your new home, and staring at your 6-figure bank balance. Dear son, Trust in God and keep working.",7.1K,172K
I'm a man.,4.3K,145K
,5.5K,187K
"A weak man is found in the crowds seeking validation and attention. A strong man is found alone, seeking God and fixing himself.",4.6K,125K
"Dear son,

A dream written down becomes a goal.

A goal broken down into steps becomes a plan.

A plan backed by action becomes a reality.",1.3K,57K
"Dear son,",5.2K,174K
"Dear son, 

Every man has to go through a phase in life where he values nothing. Only silence, his grind and fixing himself.",1K,52K
"Dear son,",5.7K,140K
"If your path is more difficult, it is because your calling is higher. Dear son, remain strong. You got this.",1.7K,57K
"Nobody is more stressed than a man trying to get successful at a young age. May God give you a breakthrough soon, dear son.",5.1K,130K
"Dear son,

Invest in a good fragrance niche.

How you smell matters more than you think. 

What's the best male perfume? Please give your suggestion.",6K,521K
"Train your mind to say, “I can do this.” Dear son, when you believe it, you make it happen.",964,49K
"Dear son,",856,49K
"The lion will never eat grass just because it’s hungry.

Dear son, your self-respect has to be stronger than your feelings.",2.4K,86K
The level of discipline you need as a man to change your life is just crazy.,10K,288K
"Dear son,",3K,102K
"Dear son,",804,55K
"Dear son, Believe me.",21K,713K
"Dear son,",4K,122K
"Never share pictures of:

• your kids
• where you live 
• where you are traveling to until you are back

As a man, privacy is your Power!",5.8K,139K
"Keep managing that job, and keep praying. Don't quit until you get another one. Dear son, Little salary is better than begging.",4.7K,122K
"Don't get me wrong, I'm just saying there is no reason for your girlfriend to have male best friends when she is already dating you. Dear son, Be wise.",1.3K,72K
"To all men, be honest. Can you marry or date a woman who wants sex every night?",3.5K,347K
"Young man. Stop wasting your time watching funny videos on Tiktok, Instagram, and YouTube. Start learning a high paying digital skill that will change your life. Be a man.",3.5K,146K
"You're a man.

Stop being an introvert.

Strangers will make you rich.

Dear son, Start networking.",4.5K,128K
"Dear son,",1.4K,82K
"Son, Banks treat you nicely when you are rich. Companies treat you nicely when you are skilled. Women treat you nicely when you are handsome and rich. Men are loved conditionally. Nobody gives you sympathy if you're weak, poor, and broke.",2.5K,83K
"Nothing kills a man faster than the weight of his own thoughts. Son, stay calm. Please don't stress over things that are out of your control. Okay?",4.1K,139K
"Dear son, If your plan is to take your family out of poverty, may God bless you financially.",8.1K,183K
"If a man understands time and season, he will never envy another man’s success.",5.1K,173K
"If you once prayed for it with tears, why celebrate it in nightclubs and bars? Dear son, return the glory to where it belongs.",5.5K,128K
"Don’t overthink it. If it’s God’s will, it will happen, and nothing can stop it. If it’s not, God has a better plan. If you believe, Amen!- Proverbs 16:9

Dear son, Happy Friday.",1.3K,53K
"You prayed for a flower, but God is growing a garden for you. Dear son, Be patient.",3.1K,101K
"Dear son,",3.7K,97K
"Dear son,",8.6K,327K
"Brooooooo, I beg you to never date a girl you love. Date a girl who wants you. She will treat you better as a man. Attract, don't chase.",6K,211K
"Son, be a man.",44K,1.7M
"I apologize to every one who chooses to skip this. Dear son, If God has repeatedly saved your life, type amen!",29K,948K
"Simps chase women.

Women chase a strong man.

A strong man stays single, silent, and out of reach until he fixes his mind, body, and wallet.",8.3K,206K
"Dear son, communication is never hard for someone who actually wants you.",1.3K,56K
"To all men, what's one turn-off you'll never  tell a woman directly?",4.4K,565K
"You're a man. Stop telling people about your private life. Be silent

You're a man. Stop telling people about your private life. Be silent

You're a man. Stop telling people about your private life. Be silent

You're a man. Stop telling people about your private life. Be silent.",2.5K,67K
"No man has ever died because he married late, but men literally dies because of marrying the wrong  woman.

No rush, Choose wisely.",11K,292K
"normalize silence. Train without music. Eat without using your phone. Sit in your room with your thoughts. As a man who wants to go far in life, learn to be bored, silent, and alone.",3.6K,103K
"Bro... bro... bro... If you knew just how quickly women can move on from one man to the next, you'd stop trying to impress them.",2.7K,105K
"Normalize spending money on, staying fit, looking good, smelling nice, eating healthy, gaining knowledge. Dear son, money spent on self-development never goes to waste.",2.8K,95K
"Dear son,

Study why banks offer credit cards to students but deny loans to start-ups.

Study why big companies hire men with kids and in debt.

Study why the rich donate money to their local churches.

Study why celebrities are glorified and worshipped.

You'll thank me later.",12K,770K
"Soon... Very soon... Money will not be an issue. Dear son, Keep working and put your trust in God.",5.9K,137K
"Dear son, Good men are hard to find because they are busy.Busy building their kingdom, acquiring wealth, getting jacked, and smashing their goals.They don’t waste their time chasing women. Never.",791,39K
"Son... son... son... Men do bounce back. From failed relationships, financial setbacks, toxic bonds, unemployment, from anyyyyyything. If you're going through hard times, calm down. Pray and keep your trust in God.",2.9K,93K
Never call twice. Never beg . Never explain yourself if not necessary. Never simp. Respect yourself man.,4.8K,155K
"Dear son,",939,40K
Give your best every single day.,1.7K,77K
I'm a man.,3.2K,100K
Be a man.,9.3K,262K
"Dear son, stay strong.",3.2K,142K
"1 day no porn = less stress
7 days no porn = confidence
21 days no porn = happiness
30 days no porn = productivity
4 months no porn = smashing goals
1 year no porn = dreams becoming reality

Son, are you ready for this?",46K,2.2M
"If you put women first, they will put you last.

If you put God, Money, and fix yourself first, they will chase you.

Dear son, don’t get it twisted.",3.2K,80K
"Stay strong, dear son.",22K,677K
"Dear son,",9.3K,268K
"Be a man who is addicted to making money, eating clean, chasing his purpose, and lifting heavy weights

You'll never be depressed.",2.9K,76K
"Dear son,",44K,2M
"Dear son,",29K,1.4M
What if?,1K,75K
"Dear son,",3.7K,105K
"The day you'll bury your mum, is the day you'll realize you lost the only woman who loves you unconditionally. 

Take care of her if she's alive.",19K,393K
"Son... Son... Son... When God wants you to grow, he makes you be depressed, broken, lonely, and tired. I beg you, Please don’t break, evolve.",4.7K,127K
"Dear son,",1.7K,64K
"Dear son,",4.3K,118K
"Be a man who has a lot of money, talks less, lives a private life, and minds his own business. You'll become the most dangerous man alive.",2.6K,78K
"Some men wake up at 30. Some at 18. Most never do. Dear son, A boy becomes a man through pain, failure, rejection, loss, disrespect, loneliness, and heartbreaks; NOT AGE. You're a man. Nobody is coming to save you.",3.7K,105K
A man who genuinely understands female nature can never argue with a woman. He either walks away or shuts up.,2.3K,105K
"When God wakes you up at 3am, Pray.

Before you make any big decisions, Pray.

Before you touch your phone in the morning, Pray.

Son... son... son... fix your relationship with God, and He will fix everything else for you. Bookmark this.",14K,237K
"You go to uni. 
You get a degree.
You get a job.

A high salary.
A nice house.
You can raise a family. 

Yes, you’re set.
And that’s true.

This works.
In the 1900s,
Not in 2025.

Dear son, Be wise",26K,820K
Dear mum.,7.2K,221K
"To all men, why is this the case?",29K,1.4M
"Trust me, son. You’re going to end 2025 happier, richer, healthier than before. Affirm it.",9.8K,240K
"Dear son, 

Stop blaming your parents, your friends, the economy, the circumstances. When you blame others, you weaken your power.

Lock in.",1.7K,53K
"Dear Son, 

in 2025, Listen more, judge less, stay curious, and lead with kindness. Every interaction is a chance to learn and grow.",554,36K
"Man to man: Once you are rich and successful, no one jokes with your missed call.",3.5K,109K
"Today's my millionaire friend's 55th birthday.

He met his love at 45. He became a dad at 51.

He built his first successful business at 50.

And he told me the ""best is yet to come.""

Dear son, Be patient. Work hard. Keep believing in yourself.

God always rewards hard work.",2.2K,62K
"Sexual discipline is what differentiates a man from boys

Boys chase sex

A man chases God, money, and fixing himself.",32K,896K
"Son, relationships are for men who have their life together. Relationships work best when you’re in a good place, not when you’re battling struggles you haven’t yet conquered.",1.7K,71K
"Dear son,",1.6K,69K
"Dear son,",63K,4.4M
"Dear son,",715,52K
Become a man who enjoys his life with or without women.,5.2K,137K
"Most young men spend their days indoors.

Dear son, 

Go out, take risks, make money, and create new connections.

Depression will never hit you.",1K,42K
"Dear son,

To understand what life is, you have to visit 3 places;

1. The hospital.
2. The prison.
3. The cemetery.

At the hospital, you'll realize health is wealth.

In prison, you'll realize freedom is priceless.

At the cemetery, you'll realize life is the greatest gift.",2.1K,76K
"Dear son,

• Goal without deadline = Fantasy

• Goal + deadline = Objective

• Goal + deadline + Plan = Intention.

• Goal + deadline + Plan + Consistency = Success.",3.1K,104K
It's me vs. me every single day.,48K,2.4M
"One day, you'll realize that every dream you had died because you chose comfort over effort, and there will be no one to blame but yourself. That regret will haunt you forever.",1.2K,47K
"Men love respect more than they love sex. That's why a man will build an empire for a woman who respects him, follows his lead & is his biggest supporter.",1.7K,73K
"Unemployment can make a man feel useless in his family. Dear son, I pray for you now, may God bless you with a permanent job in 2025. Claim it.",8.6K,206K
"Broooooo,  Every girl can offer you her looks and body, but not every girl gives you peace of mind, support for your goals, respect, and loyalty. Take your time, choose wisely.",3.1K,98K
"You're a man.

Fuck being shy.

Fuck being an introvert.

Believe me or not, Strangers will make you rich.

Start networking.

Silence is impolite. Make small talk everywhere you go.

You never know what kind of connections you'll create.

Dear son, Closed mouths don't get fed.",6.1K,171K
"Nothing is more painful to a man, like seeing himself growing older without meaningful progress in his life. May God open a door for you, dear son.",5.2K,116K
"Chasing women is a waste of time. Find a good woman. Build a business with her, save money for your kids, and focus on what matters. Dear son, There's no trophy for sleeping around.",3.9K,142K
"Dear son,",1.8K,81K
"As a man, Having a car is such a huge convenience. Don't downplay its importance.",2.5K,95K
"Just don't f*cking quit, bro. Instead, go harder.",4.4K,149K
"To all men, Name one addiction that is the toughest to overcome?",4.3K,567K
A man matures when he stops telling people what he's going through. No matter how stressful it is. He solves his own problems alone without seeking sympathy from people.,4K,116K
"Son, in order to perform in front of thousands, you have to outperform thousands in front of no one.",508,36K
"Satan’s greatest fear is you becoming the man God created you to be. That’s why he fights you with distractions, doubt, and despair. He doesn’t need to destroy you, he just needs to keep you stuck.

James 4:7

How long will you let him win?",1.3K,56K
I'm a man.,27K,886K
"Dear son, the worst thing in life is ending up with the wrong partner not being alone. So choose who will complement your life.",989,60K
"Nice men are used.

Shy men are ignored.

Weak men are abused.

Ruthless men are respected.

Be a ruthless man.

Son, Nobody is loyal to a poor, broke, and weak man.",6K,176K
"No matter how rich a man gets, he can’t forget the days of empty wallet, hungry stomach, broken heart, and betrayal when time was hard.",2.9K,82K
"Dear son,",6.3K,223K
"Dear son,

Believe it or not, people do bounce back. From failed relationships, financial setbacks, toxic bonds, unemployment, from anything. Keep your trust in God.",1.6K,55K
it’s a luxury to have zero health issues. Let no one convince you otherwise.,1.6K,72K
"Dear son, 

If you are persistent, you'll get it. 

If you are consistent, you'll keep it. 

If you are grateful, you'll attract more of it. 

Neverrrrr forget this.",1.2K,46K
As a man. Be silent. Go solo. Seek God. Be educated. Get money. Dress well. Stay humble. That's how you win.,3.3K,107K
"Dear son,",7.8K,225K
Lock in.,14K,469K
"You're a man,

Never sleep with a married woman.

Never sleep with your coworkers.

Never sleep with your brother's girlfriend.

Never sleep with a woman older than you.

Never sleep with a woman you don't trust.

Dear son, Sex is too spiritual. Stop giving every woman your body.",6.9K,254K
"A man ruins his life the moment he puts pleasure, comfort, and women first instead of God, money, and fixing himself.",1.6K,64K
"Dear son,",1.5K,81K
Be alone or surround yourself with men who have bigger goals than you. Your circle influences your character more than you think.,1.2K,46K
"In six months, you'll either have 6 months of excuses or 6 months of progress. Dear son, the choice is yours.",3.7K,96K
"Focus on your goals, son, because, after some years, no one will ask how many girlfriends you had. Rather, they'll ask how much you earn.",1.8K,63K
"Dear son, 2025 will be your year. Claim it.",2.2K,70K
"As a man, the best way to increase your status is to get your body in shape. People treat you differently when you're healthy, energetic, & confident.",1.3K,50K
"Women, money, and power have one thing in common, they run away from a desperate man.",1.6K,59K
"Stay disciplined, dear son.",5.6K,129K
Normalize getting close to God even when everything is working in your favour.,25K,464K
"Dear son,",11K,335K
"Be careful when you pray for strength. God doesn’t hand it out, He forges it. And forging means battles, fire, and pressure.

1 Peter 5:10

Dear son, Are you ready to face the fight that builds who God created you to be?",899,45K
"Dear son, the most powerful thing is self respect. Never lose it for anyone.",929,51K
"To all mature men who are 30+, What's one “cheat code” about life most young men ignore?",2.7K,387K
"A boy is born, but a man is built through pain, failure, rejection, loss, disrespect, loneliness, and heartbreaks. Dear son, Are you ready to pay the price?",3.3K,107K
"Trust me, son. You’re going to end 2025 happier, richer, healthier than before. Affirm it.",14K,323K
"Until it's done, tell none. 

That's the LAW.",13K,307K
"Brooooooo, You're not even trying half as hard as you're capable of, and you know it. This is why you're depressed.",4.4K,120K
Bro won in life.,4.4K,294K
I'm a man.,7.1K,204K
"Dear son,",5.1K,146K
"Dear son, You can literally come back from anything. It’s all about your mindset. Ask me.",1.8K,64K
"Sometimes, a man has to make a decision that will break his heart but give him peace for the rest of his life.",1.9K,84K
"Take your financial life seriously. Dear son, Being broke and not expecting money from anywhere is the darkest place a man can be.",5.8K,200K
Bro won in life.,4.4K,294K
"Go work out, tell no one.

Read a book, tell no one.

Go for a run, tell no one.

Eat clean, tell no one.

Travel, tell no one.

Dear son,

""Whoever guards his mouth and tongue keeps his soul from troubles."" - Proverbs 21:23.",4.8K,113K
"Dear son,",2.1K,89K
Bro won in life.,4.4K,294K
"Every man gets to a point in life where he only values silence, God, his hustle, and fixing himself. Nothing else.",2.5K,77K
"Be a man who keeps fixing his life even through pain, failure, rejection, loss, disrespect, or heartbreaks. Dear son, You'll go far in life in life.",2.3K,73K
"A horny man can lose everything in a day. Success requires sexual discipline. Dear son, be a man of dignity who can not be consumed by beauty or lust and only values a woman of pure character.",2.8K,101K
"Dear son, 

Love while they lust.

Build while they relax. 

Work while they sleep.

Believe while they doubt.

Worship while they idolize.

Create while they consume.

Appreciate while they hate.

You'll be in the top 1%.

I promise.",1.5K,53K
"Dear son,",1.7K,76K
"As a man, loneliness, pain, failure, rejection, loss, disrespect, and setbacks is the price you pay to win in life. No shortcut.",1.9K,70K
"A man who turns 30 is considered old, but also a man who dies at 30 is said to die young. Dear son, let no one pressure you. Live your life in your own terms.",3.7K,124K
"Dear son, the most attractive woman in this world is a woman who brings you peace.",3.1K,115K
Deleting your savage paragraph to a woman and just replying 'ok' is a whole new level of emotional control.,2.6K,95K
"Young man,

Your minimum base fitness level should be:

• 50 push-ups
• 20 pull-ups
• 50 squats
• 20 dips

If this sounds unrealistic, you have SERIOUS work to do my boy.",27K,1.4M
"A calm man who is a master of his emotions is an attractive man. Become that man, dear son.",1.5K,60K
Can a man be loved without money?,2.8K,272K
"After 37 years of age as a man, I’ve finally come to realize that the only cure to depression is just leaving the house at every single possible opportunity no matter how badly you don’t want to.",3.8K,138K
"Dear son, just in case no one tells you today…..you’re worth having around. you’re worth committing to. you’re worth appreciating. you’re worth loving… you're worth reassuring. you're worth risking it all for. you're worth everything...",859,44K
Brooooooo,2.1K,89K
The best middle finger you can give to anyone is fixing your life. Nothing else.,2.4K,83K
"Dear son,",6.2K,162K
Trust me.,38K,1.1M
"Normalize this by age 25:

1. Talk slow.
2. Be clear.
3. Never mumble.
4. Don't interrupt.
5. Listen twice more than you talk.

To all men, how best can a man best improve his communication skills?",8K,216K
"Dear son, Comfort is the enemy to success.",1.7K,75K
"Dear son,",1.1K,65K
"Dear son, Gambling is and was never a side hustle. Avoid it at all cost.",4.2K,191K
"By age 30, all you need as a man is...",3.3K,304K
"Soon... you Gonna Be Rich, strong and powerful, and people will say, "" Oh, look at him, he is so lucky. Dear son, lock in.",1.6K,54K
"Dear son,",12K,298K
"One client, just one client, can change your life 

Dear son, I pray you meet such a client soon.",13K,310K
"Dear son, you mother's prayers are still protecting you.",2.9K,84K
having zero health problems is a luxury that people don’t think is a luxury. Trust me.,3.4K,95K
"No Risk, No Porsche.",22K,516K
"Man to man; 

You might be very popular at work, but trust me, if you lose your job today, no one from work will call you after a week. Don’t gossip. Don’t show off. Just do your job, get paid, and go home. Son, keep your personal life private.",3.7K,113K
"If a man  understands time and season, he will never envy another man’s success.",4.4K,121K
,1.5K,56K
Choose your circle wisely son.,3.6K,120K
"Dear son,",3.2K,179K
Trust me son.,5.1K,132K
"Dear son,",1.2K,53K
"Dear son, 

No days off as a man. 

Take care of your body. Take care of your family. Take care of your business. 

Lock in.",1.6K,45K
"Man to man, 

No porn + avoid sugar + drink water + hit the gym + party less + Avoid drama + Dress well + Make money + Smell nice + Talk less.

= 2025 blueprint.",8.6K,262K
In 2025 you have to lock in.,1.8K,102K
"POWER of the tongue is so real. STOP saying you’re tired all the time. You’re broke, or You’re depressed. Dear son, START saying you’re grateful. Start manifesting growth. Start speaking life into yourself.",6.4K,155K
,750,50K
"Dear son,",2.8K,91K
"Dear son, 

Date a woman who respects you. Period!",1K,54K
Nothing scares a man more than realizing he's getting older with zero achievements in his life.,3.8K,111K
"In 10 years, it won't even matter how long it took. You'll just be glad you did it. Dear son, Stay focused.",1.2K,52K
"Go ghost. Stack money. Hit the gym. Build income streams. Then, find a peaceful partner and build a family together. Dear son, Be a man who is obsessed with fitness, finance, and family. Nothing else.",3.7K,130K
"Dear son,",2.4K,83K
"monopoly teaches you that if you don't take risks, you will end up paying rent to someone who did.",4.7K,115K
"Dear son,

Set a goal
Make a plan
Remove distractions
Challenge your thoughts
Embrace delayed gratification

Then, show up .Every. Single. Day.",919,37K
"BREAKING NEWS: To all the sons reading this, 2025 will be the year you will become financially stable. Affirm it.",8.9K,224K
"Nobody grinds harder than the man who’s tasted failure, pain, rejection, loss, disrespect, loneliness, and heartbreak at a young age.",7K,195K
One thing about GOD is that when he sees you trying He’ll handle the rest.,2.4K,78K
"If you don't earn like them, Don't spend like them. Dear son, it's that simple!!!",1K,55K
Be a man.,9.8K,273K
"You are not depressed, the reason you feel sad inside is because you know you are not living up to your potential.",4.9K,140K
You're a man. Act poor. Act broke. Act like a useless man. Act like you can't afford bread until they find out you own a bakery. Have more than you show and speak less than you know.,3.7K,104K
"Dear son,

Stop giving a woman more chances to disappoint you.

Move on.",1.5K,55K
"Dear son, no matter the amount of gangsta in you, always pray",2.2K,71K
too much availability kills your value. Even your parents respect you more if they don't see you often.,3.9K,123K
"Dear son,",3.5K,88K
"In 2025, stay disciplined.",8.5K,294K
"Son, you can be very popular at your workplace, but trust me, if you're laid off today, no one from work will call you after 1 week. Avoid gossip. Don't brag. Do your job. Get paid. Go home. You're a man. Keep your private life to yourself.",1.6K,61K
"A mature man doesn’t force anyone to choose him. He is okay with not being accepted, invited, included, or considered. Become that man, dear son.",2.3K,71K
"Dear son, 

People respect you more when you're physically fit, mentally calm, and focused on meaningful goals.",777,36K
I'm a man.,4.8K,165K
"Bro... bro... bro... Please don’t date a girl you love, Date a girl who wants you. She will treat you better as a man. Attract, don't chase.",5.8K,191K
Normalize telling people nothing about yourself anytime they ask too much about your private life.,1.4K,54K
"You'll lose many of your friends when you start to fix your life. Dear son, there is a reason why",1.9K,69K
Fasting + meditation + semen retention = extremely dangerous combination.,14K,629K
"Dear son, 

Lifting weights in the gym builds muscle. 

Lifting responsibility builds a man.

Don't get it twisted.",997,34K
"Dear son,",2.9K,102K
"The man you will become in 5 years depends on:

The books you read
The foods you eat
The habits you build
The friends you meet
The workouts you do
The money you invest
The sacrifices you make.

Dear son, Act accordingly.

Your future self is watching.",2.1K,82K
"God will literally sit you down and break you to humble you, then will isolate you to build you. Then give you back everything 10x to prove to you He’s real and everything is for a reason. Dear son, Keep your trust in Him.",5.1K,131K
"Dear son, This morning routine will change your entire life.",3.8K,252K
"As a man, the best thing you can do is stop telling people what you're going through in your life. Bro, Never seek pity at all cost.",1.5K,51K
"Dear son,

Never give up.

No matter how hard it gets.

Trust me, every problem has a solution.

Keep working, and trust in God.",1.1K,39K
80% of single men are no longer interested in dating. They are not even trying. Why is this the case? (Men only),14K,1.3M
"Be a man who has a lot of money, talks less, lives a private life, and minds his own business. You'll be in the top 1%.",2.9K,90K
Do you agree or disagree?,16K,580K
"She is not busy. Women are on their phone 25 hours in a day. She's just not interested in you. Dear son, Now that you understand this, lock in. There's no time to waste.",2.5K,94K
"God knows the right time, the right place, the right person, and the right answer to your prayers. 

Ecclesiastes 3:11.",1.4K,52K
"You're a man, never disrespect your father. Ever.",3.3K,109K
"Dear son,

She got a new boyfriend.

You got a new life.

God will never stop creating more beautiful women.

Move on.",3.9K,113K
"Fear the man who has zero desire to be seen. Just busy, paid, hard to reach, and out of sight. He's the most dangerous man alive.",2.7K,91K
Son... son... son... A calm mind is attractive.,5K,201K
"Bro... bro... bro... when you get your life together, keep your mouth shut. That is the law.",5.8K,153K
"Dear son,",1.2K,66K
"I'ma tell you again and again, this is your last year being broke. Dear son, claim it.",11K,248K
Lock in son.,20K,1M
"Bro... bro... bro... Levelling up takes isolation, separation, and extreme focus.",2K,72K
"Dear son, read this carefully...",705,99K
"Young man.

Leave home.

Live alone. 

Take risks. 

Take charge of your destiny.",2.6K,59K
"An OG once told me, ""They don’t respect you at the bottom, they ignore you in the middle, and they hate you at the top. You’ll never have everyone’s approval. So it’s best to just focus on what you’re doing."" Dear son, live life in your own terms.",2.5K,92K
"If you haven't slept in the hospital from birth till 2025, use just 1 minute and give thanks to God. Please.",11K,252K
"You're a man. Discipline your mind not to care if it's hard, or if it hurts, or if it sucks. If anything needs to get done, it must be done.",1.6K,72K
"Stop depending on anything from anyone. Dear son, Learn to survive alone. As a man, being independent is a must. If not, you'll suffer.",924,43K
"Dear son,",1.1K,76K
"Dear son,",9.5K,324K
"There's something called Grace. When it locates you, it doesn't inspect your certificates or your background. It simply changes the story of your life. Dear son, May the Lord's Grace locate you.",8.6K,189K
I'm a man.,5.6K,178K
"Dear son,

Never ignore that feeling that tells you to pray.

You have the power to save yourself from a lot of things.

Even when you don't feel like praying, force it because something is also forcing you not to pray.",1.3K,41K
"You're a man. Fuck your tired body. Fuck your unmotivated mind. Just get out there and do it anyway. Dear son, You're on your OWN.",2.1K,78K
"Son, It costs $0.00 to respect everyone.",33K,774K
"I promise you son, any woman rejecting you is actually the universe protecting you.",11K,306K
,2.6K,119K
I'm a man.,2.7K,65K
"Dear son, 

No matter how difficult life becomes, never pick up a cigarette or alcohol. Neverrrrrrrrr.",3.7K,162K
"A man cries for a woman once in his lifetime. After that, his soul will never allow him to ever trust women ever again.",6.3K,212K
"Lust is the final boss. As a man,  once you defeat it, life unlocks",5K,172K
"in 5 years, you won’t care how long it took. You will just be glad you did it. Dear son,  Keep going...",3.3K,89K
"If God wants to turn a boy into a man, he makes him feel depressed, broken, lonely, and tired.Son, please remain strong. Don’t break.",3.5K,118K
"If your girlfriend decides to break up with you, don’t try to change her mind. She’s already got a backup plan. Trust me.",7K,227K
"Dear son,",2K,110K
"To all mature men who are 30+, What's one life “cheat code” that most young men haven't realized?",9K,963K
You can literally come back from anything. It’s all about your mindset. Trust me.,10K,284K
"Dear son,",2.5K,111K
"There is no room for mistakes! There is no room for weakness! Dear son, Fuck your little depression and become a man.",1.2K,70K
"Dear son,

Working out will make you feel weak while you're getting stronger.

Learning new things will make you feel dumb while you're getting smarter.

Investing will make you feel broke while you're getting richer.

Normalize doing hard things.

Every. Single. Day.",2.6K,102K
"Brooooooo,  lock in.",128K,4.8M
"Young man,

Women are going nowhere. 

Don't stress chasing them. 

You have more than enough time.

 First, focus on fitness, finances, and status.",1.6K,69K
I'm a man.,6.9K,258K
"Next stop? To the top, dear son.",1.3K,59K
"You're a man. Never argue with your father. Everrrrrrrrrr. Bro, don't be the guy who shouts at his dad but talks nicely to strangers.",1.7K,80K
"As a man,

Always pretend you don’t have money.

Read this 3, 4, 5, 6, 7, 8, 9 times.",1K,83K
Normalize getting mad at yourself for not working to your potential.,34K,794K
what is the most masculine way to die?,2.1K,496K
"Dear son,",1.3K,65K
